Datetime,Open,High,Low,Close,MA50
6/5/07 0:00,1.34909,1.35515,1.34885,1.35157,1.3523862
6/6/07 0:00,1.35162,1.35371,1.34844,1.34957,1.3526816
6/7/07 0:00,1.34963,1.35113,1.34209,1.34247,1.352967
6/8/07 0:00,1.34251,1.34269,1.33225,1.33708,1.3529594
6/10/07 0:00,1.33671,1.33711,1.33513,1.33559,1.352829
6/11/07 0:00,1.33557,1.33606,1.33325,1.3349,1.3525688
6/12/07 0:00,1.33496,1.33683,1.32981,1.33,1.3522158
6/13/07 0:00,1.32997,1.33144,1.32621,1.3307,1.3516798
6/14/07 0:00,1.33067,1.33221,1.32789,1.3308,1.3512398
6/15/07 0:00,1.33077,1.33877,1.33047,1.33867,1.3507128
6/17/07 0:00,1.33765,1.33869,1.33737,1.33855,1.3502572
6/18/07 0:00,1.3386,1.34178,1.33822,1.34147,1.3497802
6/19/07 0:00,1.34156,1.34343,1.3384,1.34229,1.3494336
6/20/07 0:00,1.34233,1.3436,1.339,1.33967,1.3490814
6/21/07 0:00,1.33973,1.34044,1.33717,1.33888,1.3487148
6/22/07 0:00,1.33889,1.34683,1.33772,1.34676,1.3482254
6/24/07 0:00,1.34648,1.3469,1.34565,1.34616,1.3478826
6/25/07 0:00,1.34617,1.34719,1.34384,1.34623,1.3476218
6/26/07 0:00,1.34617,1.34764,1.3431,1.34491,1.3472424
6/27/07 0:00,1.34484,1.34548,1.34167,1.3454,1.3468936
6/28/07 0:00,1.34536,1.34788,1.34233,1.34363,1.346499
6/29/07 0:00,1.34359,1.35395,1.34284,1.35393,1.3461674
7/1/07 0:00,1.35358,1.35465,1.35337,1.35343,1.3460606
7/2/07 0:00,1.35344,1.36374,1.35258,1.36187,1.3460276
7/3/07 0:00,1.36193,1.36323,1.35833,1.36054,1.3460864
7/4/07 0:00,1.36061,1.36299,1.36044,1.36159,1.3461138
7/5/07 0:00,1.36164,1.36574,1.35784,1.35922,1.3461542
7/6/07 0:00,1.35931,1.36396,1.35678,1.36253,1.3462632
7/8/07 0:00,1.36319,1.36337,1.36215,1.36237,1.3464486
7/9/07 0:00,1.3624,1.36372,1.36086,1.36203,1.3467446
7/10/07 0:00,1.36196,1.37822,1.35935,1.37429,1.3469408
7/11/07 0:00,1.37419,1.37795,1.37299,1.37443,1.3473472
7/12/07 0:00,1.37437,1.37971,1.37419,1.37823,1.3477524
7/13/07 0:00,1.37817,1.38103,1.37621,1.37811,1.3481378
7/15/07 0:00,1.37837,1.37855,1.37676,1.3775,1.3486584
7/16/07 0:00,1.37749,1.38019,1.37603,1.37733,1.349221
7/17/07 0:00,1.37734,1.37974,1.3758,1.37935,1.349757
7/18/07 0:00,1.37932,1.3831,1.37565,1.38045,1.350305
7/19/07 0:00,1.38044,1.38284,1.37852,1.37968,1.35099
7/20/07 0:00,1.37955,1.38418,1.37777,1.38251,1.3516862
7/22/07 0:00,1.38334,1.38438,1.38268,1.38364,1.3524282
